v1,v2,v3,v4,v5
1,0.10780,a,2019-10-31,2019-11-03
2,-0.79658,a,2018-11-12,2018-12-01
4,0.61420,c,2012-05-14,2012-06-14
1,0.39258,a,2017-01-01,2017-08-01
4,-0.29707,a,2012-06-06,2012-06-12
4,0.21670,c,2019-04-03,2019-05-01
6,0.04906,b,2015-07-28,2015-08-20
6,-0.76691,b,2014-09-27,2014-11-27
1,0.17141,d,2013-10-04,2013-11-14
3,0.35063,d,2014-08-12,2014-09-12
2,0.90441,a,2018-11-12,2019-11-12
3,0.00197,b,2011-08-12,2011-08-13
1,0.81387,a,2014-06-24,2016-06-24
3,-0.39826,a,2015-02-01,2015-07-12
4,0.52603,a,2011-07-10,2011-08-13
4,-0.41483,c,2012-03-12,2012-08-01
5,-0.02946,a,2013-07-16,2013-07-17
2,-0.16647,c,2016-03-14,2016-04-14
5,0.86743,d,2012-09-10,2012-09-26
6,-0.85316,d,2018-04-12,2018-05-12
